system:index,builtup,canopyMn,canopySD,cluster,cropland,grass,latitude,longitude,wetland,.geo
0,0,10,0,0,62,30,12.181289999933828,106.10635133031262,0,
1,5,0,0,0,52,41,13.829788377823506,104.8424217255383,0,
2,18,0,9,0,33,20,13.487530254573565,102.07390385137059,0,
3,1,10,10,0,56,30,13.696119063546364,105.06340728543488,0,
4,23,0,0,0,63,28,13.57242104892296,105.94195963331639,0,
5,3,4,13,0,29,36,11.145083319700742,103.75016017156169,0,
6,5,0,0,0,62,15,11.232669059902495,105.91501017479241,0,
7,5,1,22,0,42,25,12.155957508921627,105.82796342375998,0,
8,10,0,0,0,54,15,11.37388422256625,104.79121775434275,0,
9,3,0,0,0,61,18,10.537373029993166,105.05451396412197,9,
10,18,4,15,0,57,30,12.512768339774322,107.42525783047584,0,
11,1,0,0,0,66,23,13.636021771038697,104.24171829503895,0,
12,11,0,0,0,68,20,10.860766532276575,104.8187062020372,0,
13,3,0,4,0,36,28,14.245349028257687,103.8234626987469,0,
14,3,0,0,0,59,25,12.481237473301693,104.4346764180706,0,
15,11,0,1,0,42,37,13.88233982194456,105.69456360406632,0,
16,10,0,0,0,67,21,13.570804081411543,107.69367443737461,0,
17,11,16,5,0,42,25,13.268700651361792,106.33838616820402,0,
18,3,0,0,0,52,34,11.051838193209026,103.8126829153373,0,
19,11,6,15,0,57,25,13.950521952009312,104.64191775411994,0,
20,18,0,0,0,60,23,13.427432962065899,104.00725800588039,0,
21,21,0,0,0,48,21,10.93083512443798,104.79175674351323,0,
22,7,4,1,0,64,25,13.817661121487879,106.12036504874509,0,
23,3,0,0,0,40,37,11.64257032404672,104.75025457738631,0,
24,1,7,15,0,53,41,13.44279415342436,107.07195042922656,0,
25,7,0,0,0,46,28,13.548705525422177,104.19886865598583,0,
26,3,0,0,0,53,18,14.518347043101931,104.0805605330656,0,
27,10,0,0,0,68,20,12.356191985752108,105.63500530072834,0,
28,0,25,0,0,67,21,13.097032600566349,107.29778689165745,0,
29,3,0,3,0,26,30,11.360678987889681,103.54615277053522,0,
30,3,0,0,0,51,28,11.954645053750209,106.57742786531166,0,
31,21,0,3,0,35,25,12.847211120052416,104.79067876517227,0,
32,21,0,0,0,45,31,12.10178909728916,104.5629558406447,0,
33,7,6,15,0,39,25,14.126501916168534,103.41356143459727,0,
34,11,0,0,0,32,37,10.826540719951584,105.35014952412995,0,
35,28,0,15,0,43,11,12.152993068484033,104.44707316899162,0,
36,5,0,3,0,57,18,10.608250105910283,104.12772208548255,0,
37,5,6,0,0,57,18,14.20492484047226,103.0745372463657,0,
38,1,22,0,0,55,25,12.67096166130796,106.52891883996851,0,
39,23,0,0,0,57,21,13.147967077175986,102.33154067485977,0,
40,3,0,2,0,57,5,13.471091084874159,106.19124212466313,0,
41,25,0,0,0,43,11,13.929231879775655,103.0624099900299,0,
42,1,0,0,0,56,28,10.440893968478616,105.10032804361272,0,
